"","ent_diff","relmutinf_diff","ent_signif","relmutinf_signif"
"answer_mean",-0.0727756687784722,-0.688881290790181,"","***"
"answer_median",0.00952544882936573,-0.698922126041138,"","***"
"answer_mode",-0.00224894500029292,-0.662064419808456,"","***"
"answer_sd",-0.135954896524805,0.0738470450285736,"",""
"ent_diff",1,-0.42900092506938,"***","**"
"relmutinf_diff",-0.42900092506938,1,"**","***"
